Name,label
trial_truth_001.csv,1
trial_truth_002.csv,1
trial_truth_003.csv,1
trial_truth_004.csv,1
trial_truth_005.csv,1
trial_truth_006.csv,1
trial_truth_007.csv,1
trial_truth_008.csv,1
trial_truth_009.csv,1
trial_truth_010.csv,1
trial_truth_011.csv,1
trial_truth_012.csv,1
trial_truth_013.csv,1
trial_truth_014.csv,1
trial_truth_015.csv,1
trial_truth_016.csv,1
trial_truth_017.csv,1
trial_truth_018.csv,1
trial_truth_019.csv,1
trial_truth_020.csv,1
trial_truth_021.csv,1
trial_truth_022.csv,1
trial_truth_023.csv,1
trial_truth_024.csv,1
trial_truth_025.csv,1
trial_truth_026.csv,1
trial_truth_027.csv,1
trial_truth_028.csv,1
trial_truth_029.csv,1
trial_truth_030.csv,1
trial_truth_031.csv,1
trial_truth_032.csv,1
trial_truth_033.csv,1
trial_truth_034.csv,1
trial_truth_035.csv,1
trial_truth_036.csv,1
trial_truth_037.csv,1
trial_truth_038.csv,1
trial_truth_039.csv,1
trial_truth_040.csv,1
trial_truth_041.csv,1
trial_truth_042.csv,1
trial_truth_043.csv,1
trial_truth_044.csv,1
trial_truth_045.csv,1
trial_truth_046.csv,1
trial_truth_047.csv,1
trial_truth_048.csv,1
trial_truth_049.csv,1
trial_truth_050.csv,1
trial_truth_051.csv,1
trial_truth_052.csv,1
trial_truth_053.csv,1
trial_truth_054.csv,1
trial_truth_055.csv,1
trial_truth_056.csv,1
trial_truth_057.csv,1
trial_truth_058.csv,1
trial_truth_059.csv,1
trial_truth_060.csv,1
trial_lie_001.csv,0
trial_lie_002.csv,0
trial_lie_003.csv,0
trial_lie_004.csv,0
trial_lie_005.csv,0
trial_lie_006.csv,0
trial_lie_007.csv,0
trial_lie_008.csv,0
trial_lie_009.csv,0
trial_lie_010.csv,0
trial_lie_011.csv,0
trial_lie_012.csv,0
trial_lie_013.csv,0
trial_lie_014.csv,0
trial_lie_015.csv,0
trial_lie_016.csv,0
trial_lie_017.csv,0
trial_lie_018.csv,0
trial_lie_019.csv,0
trial_lie_020.csv,0
trial_lie_021.csv,0
trial_lie_022.csv,0
trial_lie_023.csv,0
trial_lie_024.csv,0
trial_lie_025.csv,0
trial_lie_026.csv,0
trial_lie_027.csv,0
trial_lie_028.csv,0
trial_lie_029.csv,0
trial_lie_030.csv,0
trial_lie_031.csv,0
trial_lie_032.csv,0
trial_lie_033.csv,0
trial_lie_034.csv,0
trial_lie_035.csv,0
trial_lie_036.csv,0
trial_lie_037.csv,0
trial_lie_038.csv,0
trial_lie_039.csv,0
trial_lie_040.csv,0
trial_lie_041.csv,0
trial_lie_042.csv,0
trial_lie_043.csv,0
trial_lie_044.csv,0
trial_lie_045.csv,0
trial_lie_046.csv,0
trial_lie_047.csv,0
trial_lie_048.csv,0
trial_lie_049.csv,0
trial_lie_050.csv,0
trial_lie_051.csv,0
trial_lie_052.csv,0
trial_lie_053.csv,0
trial_lie_054.csv,0
trial_lie_055.csv,0
trial_lie_056.csv,0
trial_lie_057.csv,0
trial_lie_058.csv,0
trial_lie_059.csv,0
trial_lie_060.csv,0
trial_lie_061.csv,0
